Wall time,Step,Value
1497446903.440997,0,0.6740000247955322
1497447003.677851,1,0.7407500147819519
1497447102.886873,2,0.7727500200271606
1497447202.070737,3,0.8080000281333923
1497447300.409802,4,0.8387500047683716
1497447399.310832,5,0.8460000157356262
1497447498.284574,6,0.8677499890327454
1497447598.458746,7,0.8662499785423279
1497447698.4445,8,0.8777499794960022
1497447798.475033,9,0.8815000057220459
1497447898.150526,10,0.8824999928474426
1497447998.360553,11,0.890250027179718
1497448098.299095,12,0.8920000195503235
1497448197.655637,13,0.8947499990463257
1497448297.13838,14,0.8970000147819519
1497448396.737941,15,0.8999999761581421
1497448496.780594,16,0.9035000205039978
1497448597.497437,17,0.9139999747276306
1497448697.646657,18,0.9202499985694885
1497448797.277341,19,0.9157500267028809
1497448897.879278,20,0.9154999852180481
1497448997.725603,21,0.9154999852180481
1497449097.568478,22,0.9150000214576721
1497449197.095756,23,0.9167500138282776
1497449297.552122,24,0.9232500195503235
1497449397.347839,25,0.9172499775886536
1497449497.597919,26,0.9169999957084656
1497449598.141161,27,0.9227499961853027
1497449697.615622,28,0.921750009059906
1497449797.675725,29,0.9235000014305115
1497449898.01704,30,0.9227499961853027
1497449997.526729,31,0.9257500171661377
1497450096.366918,32,0.9247499704360962
1497450196.510999,33,0.9279999732971191
1497450296.161475,34,0.9265000224113464
1497450396.61707,35,0.9262499809265137
1497450496.583615,36,0.9259999990463257
1497450596.538897,37,0.921750009059906
1497450697.206937,38,0.9225000143051147
1497450796.790575,39,0.9240000247955322
1497450896.688846,40,0.9275000095367432
1497450996.51563,41,0.9182500243186951
1497451096.114686,42,0.9284999966621399
1497451196.201155,43,0.9252499938011169
1497451296.50665,44,0.9267500042915344
1497451397.117585,45,0.925000011920929
1497451497.270781,46,0.9272500276565552
1497451597.194173,47,0.9210000038146973
1497451696.862648,48,0.925000011920929
1497451798.301525,49,0.9277499914169312
1497451898.917945,50,0.9267500042915344
1497452000.453988,51,0.9309999942779541
1497452101.221672,52,0.9235000014305115
1497452202.502937,53,0.9297500252723694
1497452303.947534,54,0.9225000143051147
1497452405.766155,55,0.925000011920929
1497452507.177826,56,0.9225000143051147
1497452608.75013,57,0.9290000200271606
1497452710.114599,58,0.9282500147819519
1497452811.618094,59,0.9202499985694885
1497452912.988457,60,0.9194999933242798
1497453014.507959,61,0.9204999804496765
1497453115.335528,62,0.9282500147819519
1497453217.27282,63,0.9210000038146973
1497453318.444263,64,0.9235000014305115
1497453419.650572,65,0.9172499775886536
1497453520.161677,66,0.9229999780654907
1497453619.810835,67,0.9284999966621399
1497453719.602746,68,0.9279999732971191
1497453819.501805,69,0.9212499856948853
1497453918.947884,70,0.9204999804496765
1497454019.504919,71,0.9212499856948853
1497454120.021713,72,0.9244999885559082
1497454219.919615,73,0.9225000143051147
1497454319.803259,74,0.9275000095367432
1497454420.204699,75,0.9202499985694885
1497454520.706094,76,0.9229999780654907
1497454621.19997,77,0.9227499961853027
1497454722.055816,78,0.9139999747276306
1497454822.216266,79,0.9232500195503235
1497454923.120544,80,0.9164999723434448
